Lat,Lat_MIn,Lon,Lon_Min,Thru
48,12.3663,106,38.4809,3.49
48,12.3756,106,38.4809,3.49
48,9.5779,106,35.562,2.86
48,11.8523,106,35.562,2.86
48,11.8553,106,35.562,2.86
48,9.5779,106,38.302,2.86
48,11.8523,106,38.302,2.86
48,11.8553,106,38.302,2.86
48,9.5779,106,38.3109,2.86
48,11.8523,106,38.3109,2.86
48,11.8553,106,38.3109,2.86
48,9.5136,106,35.5411,3.09
48,11.8382,106,35.5411,3.09
48,11.8401,106,35.5411,3.09
48,9.5136,106,38.2644,3.09
48,11.8382,106,38.2644,3.09
48,11.8401,106,38.2644,3.09
48,8.991,106,35.9104,3.83
48,11.7795,106,35.9104,3.83
48,8.991,106,38.0551,3.83
48,11.7795,106,38.0551,3.83
48,8.9256,106,35.9156,3.17
48,11.7734,106,35.9156,3.17
48,8.9256,106,38.0346,3.17
48,11.7734,106,38.0346,3.17
48,8.3342,106,35.9109,3.23
48,11.7475,106,35.9109,3.23
48,11.7497,106,35.9109,3.23
48,8.3342,106,37.9511,3.23
48,11.7475,106,37.9511,3.23
48,11.7497,106,37.9511,3.23
48,8.2688,106,35.9105,3.43
48,11.7428,106,35.9105,3.43
48,11.7432,106,35.9105,3.43
48,8.2688,106,37.9215,3.43
48,11.7428,106,37.9215,3.43
48,11.7432,106,37.9215,3.43
48,8.2688,106,37.9233,3.43
48,11.7428,106,37.9233,3.43
48,11.7432,106,37.9233,3.43
48,7.6823,106,35.9074,3.15
48,11.7637,106,35.9074,3.15
48,7.6823,106,37.8842,3.15
48,11.7637,106,37.8842,3.15
48,7.6376,106,35.9077,2.97
48,11.7637,106,35.9077,2.97
48,7.6376,106,37.8842,2.97
48,11.7637,106,37.8842,2.97
48,7.0971,106,35.9039,3.26
48,11.7548,106,35.9039,3.26
48,7.0971,106,37.8898,3.26
48,11.7548,106,37.8898,3.26
48,7.0335,106,37.89,2.97
48,11.7548,106,37.89,2.97
48,6.4571,106,35.9006,2.88
48,11.7594,106,35.9006,2.88
48,6.4571,106,37.8933,2.88
48,11.7594,106,37.8933,2.88
48,11.7594,106,35.9004,3.14
48,11.7594,106,37.8933,3.14
48,5.7995,106,35.8968,2.95
48,3.9948,106,35.2882,2.94
48,3.5111,106,34.614,2.94
48,2.5503,106,33.2141,3.16
48,2.0431,106,32.4649,3.32
48,1.5355,106,31.7136,3.1
48,1.0539,106,30.9313,2.7
48,0.0936,106,29.1298,3.01
47,59.9785,106,28.4659,3.26
47,59.8284,106,27.8143,3.73
47,59.7325,106,27.1376,2.88
47,59.7401,106,26.4534,2.94
47,59.8425,106,26.0559,2.94
47,59.8431,106,26.0538,2.69
47,59.8431,106,26.0539,2.91
47,59.843,106,26.0541,3.45
47,59.8725,106,25.9602,3.09
48,0.0631,106,25.3139,3.02
48,0.5023,106,23.9122,3.48
48,0.7185,106,23.2206,2.99
48,1.2096,106,22.7161,2.95
48,1.416,106,21.9564,3.14
48,1.3144,106,21.252,3.32
48,1.2167,106,20.6485,3.09
48,0.7723,106,19.992,3.07
48,0.2762,106,19.2913,2.94
47,59.8071,106,18.6064,1.42
47,59.3256,106,17.8991,2.65
47,58.7873,106,17.2732,3.27
47,55.9767,106,13.8671,2.72
47,55.9859,106,13.8671,2.72
47,55.9767,106,13.8887,2.72
47,55.9859,106,13.8887,2.72
47,55.3126,106,12.1568,2.03
47,55.3235,106,12.1568,2.03
47,55.3126,106,12.1855,2.03
47,55.3235,106,12.1855,2.03
47,54.346,106,10.6147,2.87
47,54.3644,106,10.6147,2.87
47,54.346,106,10.62,2.87
47,54.3644,106,10.62,2.87
47,52.9465,106,10.2109,3.07
47,52.9638,106,10.2109,3.07
47,52.9465,106,10.2161,3.07
47,52.9638,106,10.2161,3.07
47,51.6199,106,9.8154,2.43
47,51.6366,106,9.8154,2.43
47,51.6199,106,9.8203,2.43
47,51.6366,106,9.8203,2.43
